date,log_exists,clear_by_fit,measured_MJ,ref_MJ,anchor_scaling,anchor_used,anchor_resid_log,scaling_daily,source,nrmse,A,n,sunrise,sunset,note
2025-03-07,True,True,17.27094,21.81,1.2628148786342839,True,-0.041923044891576916,1.3168813199678073,annual_fit,0.016438249073358932,682.5773716648499,1.1000000000000005,06:22,17:41,ok
2025-03-08,True,False,11.31768,21.98,,,,1.314545480171735,annual_fit,0.18612019847652506,474.50877747055216,1.0100000000000005,06:42,16:57,ok
2025-03-09,True,True,17.58828,22.15,1.2593613474427288,True,-0.04109833421916409,1.3121972990285726,annual_fit,0.010252502439685748,688.2421120102114,1.0700000000000005,06:24,17:44,ok
2025-03-10,True,False,15.25563,22.32,,,,1.3098375514732763,annual_fit,0.20624278883333458,630.5082065278883,0.56,08:43,17:36,ok
2025-03-11,True,False,3.67668,22.48,,,,1.3074670123932999,annual_fit,0.20946375103757772,134.99299856135255,0.5,07:06,17:04,ok
2025-03-12,True,False,7.35744,22.64,,,,1.3050864563166233,annual_fit,0.35483737161676676,288.6713198028283,1.2900000000000007,06:15,17:35,ok
2025-03-13,True,False,11.97834,22.81,,,,1.3026966571046885,annual_fit,0.19703470578676144,451.6088156137416,0.9100000000000004,06:20,17:33,ok
2025-03-14,True,False,16.13424,22.96,,,,1.3002983876504035,annual_fit,0.12579825903085262,627.4321616077281,1.1000000000000005,06:21,17:47,ok
2025-03-15,True,False,2.81169,23.12,,,,1.2978924195813661,annual_fit,0.3580554200707985,88.89641862354893,0.5,06:35,17:16,ok
2025-03-16,True,False,4.72587,23.28,,,,1.2954795229684464,annual_fit,0.31625008610344324,217.83205778284858,1.4800000000000009,06:58,17:11,ok
2025-03-17,True,False,12.34332,23.43,,,,1.2930604660398668,annual_fit,0.35214931583324116,515.9080143836617,1.2200000000000006,06:40,17:44,ok
2025-03-18,True,False,15.96531,23.58,,,,1.2906360149008969,annual_fit,0.20309938532151595,671.4575860480317,0.5700000000000001,08:54,17:43,ok
2025-03-19,True,False,17.31972,23.73,,,,1.2882069332592865,annual_fit,0.1856494394684494,658.7811640517191,1.0200000000000005,06:17,17:46,ok
2025-03-20,True,False,15.43842,23.88,,,,1.2857739821565375,annual_fit,0.30651920195268945,577.4002341002036,0.9700000000000004,06:06,17:52,ok
2025-03-21,True,True,17.9238,24.02,1.3401176089891653,True,0.04329294459241423,1.2833379197051153,annual_fit,0.01972555074763437,699.7557210229648,1.1500000000000006,06:10,17:50,ok
2025-03-22,True,True,18.39624,24.17,1.313855440024701,True,0.02540333265475478,1.2808995008316926,annual_fit,0.011116469081492377,721.0785386935713,1.1800000000000006,06:09,17:50,ok
2025-03-23,True,True,18.03672,24.31,1.3478060312518019,True,0.052822288875983586,1.278459477026498,annual_fit,0.01916368255880793,710.9339505611368,1.2000000000000006,06:10,17:50,ok
2025-03-24,True,False,13.30626,24.45,,,,1.276018596098852,annual_fit,0.15503308297323903,554.7490427291002,1.1300000000000006,06:16,17:04,ok
2025-03-25,True,False,16.27662,24.58,,,,1.273577601938943,annual_fit,0.11361184340441238,629.7548771453502,1.1200000000000006,06:07,17:51,ok
2025-03-26,True,True,18.21576,24.72,1.3570666280188144,True,0.06541351929245173,1.2711372342859109,annual_fit,0.03742226062596329,709.5142996545441,1.1900000000000006,06:06,17:54,ok
2025-03-27,True,False,8.24406,24.85,,,,1.2686982285022728,annual_fit,0.5028068538713081,295.6872082880809,0.7400000000000002,06:04,17:13,ok
2025-03-28,True,False,10.04121,24.98,,,,1.2662613153547393,annual_fit,0.24300802143671366,437.7745577264813,0.7100000000000002,08:53,17:32,ok
2025-03-29,True,False,14.93952,25.11,,,,1.2638272208014467,annual_fit,0.148035745317281,772.760891313142,2.2700000000000005,06:45,17:39,ok
2025-03-30,True,False,17.80068,25.24,,,,1.2613966657856293,annual_fit,0.2217493129559229,645.811864384549,1.0200000000000005,06:01,17:59,ok
2025-03-31,True,False,12.37848,25.37,,,,1.258970366035747,annual_fit,0.2760935476613616,409.07041507368234,0.6600000000000001,05:59,17:51,ok
2025-04-01,True,False,6.01836,25.5,,,,1.2565490318720742,annual_fit,0.3310043919843517,206.67117415052175,0.7300000000000002,06:09,17:45,ok
2025-04-02,True,False,12.14466,25.62,,,,1.254133368019752,annual_fit,0.30631615188590594,481.59303543531485,1.3400000000000007,06:03,17:55,ok
2025-04-03,True,False,19.71456,25.74,,,,1.2517240734282924,annual_fit,0.051099835554127615,771.2159243271876,1.2000000000000006,06:06,17:59,ok
2025-04-04,True,True,19.5639,25.87,1.3223334815655365,True,0.05679708799190719,1.2493218410975226,annual_fit,0.023464304820627325,699.4339050448099,1.0000000000000004,05:47,18:00,ok
2025-04-05,True,True,16.72422,25.99,1.554033611134032,False,0.2201714689772314,1.2469273579099467,annual_fit,0.04261680288621287,663.5458117224662,1.3300000000000007,05:47,17:46,ok
2025-04-06,True,False,8.68662,26.11,,,,1.2445413044694942,annual_fit,0.44601213478656115,280.3091858939562,0.53,06:25,17:47,ok
2025-04-07,True,False,19.86264,26.23,,,,1.242164354946623,annual_fit,0.09117271481666964,734.7540878627813,1.1100000000000005,05:45,18:05,ok
2025-04-08,True,False,18.0597,26.35,,,,1.2397971769297336,annual_fit,0.08831009122406673,701.4968931273227,1.2100000000000006,05:47,17:43,ok
2025-04-09,True,True,21.31014,26.47,1.242131680035889,True,0.0037839224994496157,1.237440431282843,annual_fit,0.023437985349573313,779.5462338999821,1.1600000000000006,05:40,18:07,ok
2025-04-10,True,False,8.46732,26.58,,,,1.235094772009472,annual_fit,0.3889627299118763,292.78746587967237,0.9800000000000004,05:43,17:54,ok
